mapping_source	mapping_set_label	subject_category	subject_id	subject_label	predicate_id	object_id	object_label	object_category	confidence	mapping_cardinality	mapping_justification	author_label	reviewer_label	mapping_date	subject_source_version	cnt
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51221	Hematocrit|Blood|%	skos:narrowMatch	OMOP:3023230	Hematocrit [Volume Fraction] of Arterial blood	Measurement	1	1:n	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3325700
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51221	Hematocrit|Blood|%	skos:narrowMatch	OMOP:3023314	Hematocrit [Volume Fraction] of Blood by Automated count	Measurement	1	1:n	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3325700
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50912	Creatinine|Blood|mg/dL	skos:exactMatch	OMOP:3016723	Creatinine [Mass/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3282278
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51265	Platelet Count|Blood|10*3/uL	skos:exactMatch	OMOP:3024929	Platelets [#/volume] in Blood by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3216656
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	51006	Urea Nitrogen|Blood|mg/dL	skos:exactMatch	OMOP:3013682	Urea nitrogen [Mass/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3189474
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51222	Hemoglobin|Blood|g/dL	skos:exactMatch	OMOP:3000963	Hemoglobin [Mass/volume] in Blood	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3188835
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51301	White Blood Cells|Blood|10*3/uL	skos:exactMatch	OMOP:3000905	Leukocytes [#/volume] in Blood by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	3171798
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51249	MCHC|Blood|g/dL	skos:exactMatch	OMOP:3009744	MCHC [Mass/volume] by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	3167190
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51279	Red Blood Cells|Blood|10*6/uL	skos:exactMatch	OMOP:3020416	Erythrocytes [#/volume] in Blood by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	3167075
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51250	MCV|Blood|fL	skos:exactMatch	OMOP:3023599	MCV [Entitic volume] by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3167074
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51248	MCH|Blood|pg	skos:exactMatch	OMOP:3012030	MCH [Entitic mass] by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3167073
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51277	RDW|Blood|%	skos:exactMatch	OMOP:3019897	Erythrocyte distribution width [Ratio] by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3166860
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50971	Potassium|Blood|mmol/L	skos:exactMatch	OMOP:3023103	Potassium [Moles/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3150261
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50983	Sodium|Blood|mmol/L	skos:exactMatch	OMOP:3019550	Sodium [Moles/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3119778
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50902	Chloride|Blood|mmol/L	skos:exactMatch	OMOP:3014576	Chloride [Moles/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	3083705
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50882	Bicarbonate|Blood|mmol/L	skos:exactMatch	OMOP:3016293	Bicarbonate [Moles/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	2972827
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50868	Anion Gap|Blood|mmol/L	skos:narrowMatch	OMOP:3037278	Anion gap 4 in Serum or Plasma	Measurement	1	1:n	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	2965452
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50868	Anion Gap|Blood|mmol/L	skos:narrowMatch	OMOP:3045716	Anion gap in Serum or Plasma	Measurement	1	1:n	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	2965452
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50931	Glucose|Blood|mg/dL	skos:narrowMatch	OMOP:3000483	Glucose [Mass/volume] in Blood	Measurement	1	1:n	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	2749562
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50931	Glucose|Blood|mg/dL	skos:narrowMatch	OMOP:3004501	Glucose [Mass/volume] in Serum or Plasma	Measurement	1	1:n	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	2749562
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50893	Calcium, Total|Blood|mg/dL	skos:exactMatch	OMOP:3006906	Calcium [Mass/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	2190816
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50960	Magnesium|Blood|mg/dL	skos:exactMatch	OMOP:3001420	Magnesium [Mass/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	2154209
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50970	Phosphate|Blood|mg/dL	skos:exactMatch	OMOP:3011904	Phosphate [Mass/volume] in Serum or Plasma	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	2066052
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51237	INR(PT)|Blood|{INR}	skos:exactMatch	OMOP:3022217	INR in Platelet poor plasma by Coagulation assay	Measurement	1	1:1	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	1399650
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	51274	PT|Blood|s	skos:exactMatch	OMOP:3034426	Prothrombin time (PT)	Measurement	1	1:1	semapv:ManualMappingCuration	Abdulrahman Chahin	Tufts	11-22-2022	v2.0	1398998
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Chemistry	50920	Estimated GFR (MDRD equation)|Blood|mL/min/{1.73_m2}	skos:narrowMatch	OMOP:46236952	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)	Measurement	1	1:n	semapv:ManualMappingCuration	Tom Pollard	Tufts	11-22-2022	v2.0	1373686
TUFTS:MIMIC-4-labevents	MIMIC-4 labevents to OMOP	Hematology	52172	RDW-SD|Blood|fL	skos:exactMatch	OMOP:3015182	Erythrocyte distribution width [Entitic volume] by Automated count	Measurement	1	1:1	semapv:ManualMappingCuration	Odysseus	Tufts	09-15-2022	v.1.0	1365729
